,0
driver_id,int64
Abandono do veículo,float64
Aceleração brusca,float64
Acidente,float64
Agressão física,float64
Agressão verbal,float64
Apropriação indevida,float64
Avaria,float64
Banguela,float64
Bebidas,float64
Checklist Irregular,float64
Cinto de segurança,float64
Comportamento,float64
Conduta Motorista,float64
Consumo médio,float64
Cuidado com equipamento/carga,float64
Cumprimento de normas,float64
Desistência de contratos,float64
Desvio de rota,float64
Dia agenciado,float64
Distração ao volante,float64
Distância Perigosa,float64
Extravio de bens,float64
Extravio de carga,float64
Fadiga na direção,float64
Frenagem brusca,float64
Fumar ao volante,float64
Imprudência,float64
Não comparecimento em contrato,float64
Não retorna contato com a PX,float64
Não retorna contato com cliente,float64
Outros,float64
Parada não autorizada,float64
Pontualidade,float64
Prisão,float64
Problema de saúde,float64
Relacionadas ao Motorista,float64
Relacionadas ao Transportador,float64
Reprovado na Brasil Risk,float64
Reprovado na GR,float64
Risco de tombamento,float64
Sinistro,float64
Substâncias ilícitas,float64
Uso do celular,float64
Veículo,float64
Dias decorridos,int64
Pontuação,float64
