,count,mean,std,min,25%,50%,75%,max
Abandono do veículo,6222.0,0.47573127611700416,13.259808072312456,0.0,0.0,0.0,0.0,370.0
Aceleração brusca,6222.0,0.01446480231436837,1.1409786186836077,0.0,0.0,0.0,0.0,90.0
Acidente,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agressão física,6222.0,0.11893281902925104,6.6331040543794755,0.0,0.0,0.0,0.0,370.0
Agressão verbal,6222.0,0.2973320475731276,7.411265094388887,0.0,0.0,0.0,0.0,185.0
Apropriação indevida,6222.0,0.47573127611700416,18.758234907800997,0.0,0.0,0.0,0.0,740.0
Avaria,6222.0,0.04339440694310511,1.9759152411087553,0.0,0.0,0.0,0.0,90.0
Banguela,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bebidas,6222.0,107.03953712632594,1441.9157355093864,0.0,0.0,0.0,0.0,37000.0
Checklist Irregular,6222.0,0.940212150433944,9.70385936112825,0.0,0.0,0.0,0.0,180.0
Cinto de segurança,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comportamento,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conduta Motorista,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumo médio,6222.0,0.01446480231436837,1.1409786186836077,0.0,0.0,0.0,0.0,90.0
Cuidado com equipamento/carga,6222.0,0.4218900675024108,7.588809121493543,0.0,0.0,0.0,0.0,250.0
Cumprimento de normas,6222.0,2.081324333011893,19.51343866881184,0.0,0.0,0.0,0.0,185.0
Desistência de contratos,6222.0,7.475891996142719,34.05198490874789,0.0,0.0,0.0,0.0,370.0
Desvio de rota,6222.0,0.26759884281581486,7.0315093059419755,0.0,0.0,0.0,0.0,185.0
Dia agenciado,6222.0,-442.1375763420122,463.02461832654524,-2225.0,-725.0,-265.0,-55.0,20.0
Distração ao volante,6222.0,0.1406300225008036,4.190679961782474,0.0,0.0,0.0,0.0,125.0
Distância Perigosa,6222.0,0.4821600771456123,12.05999256362603,0.0,0.0,0.0,0.0,625.0
Extravio de bens,6222.0,0.11893281902925104,6.633104054379475,0.0,0.0,0.0,0.0,370.0
Extravio de carga,6222.0,0.05946640951462552,4.690689876810386,0.0,0.0,0.0,0.0,370.0
Fadiga na direção,6222.0,0.24108003857280616,7.760255721965658,0.0,0.0,0.0,0.0,500.0
Frenagem brusca,6222.0,0.7232401157184185,11.38775600791831,0.0,0.0,0.0,0.0,450.0
Fumar ao volante,6222.0,0.23786563805850208,6.629904036156229,0.0,0.0,0.0,0.0,185.0
Imprudência,6222.0,0.5351976856316297,9.936850856081039,0.0,0.0,0.0,0.0,185.0
Não comparecimento em contrato,6222.0,30.268402442944392,125.11704969380867,0.0,0.0,0.0,0.0,1480.0
Não retorna contato com a PX,6222.0,3.435390549662488,21.39802576573615,0.0,0.0,0.0,0.0,250.0
Não retorna contato com cliente,6222.0,1.5871102539376407,14.696754085613888,0.0,0.0,0.0,0.0,250.0
Outros,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parada não autorizada,6222.0,0.18081002892960463,4.751019801312144,0.0,0.0,0.0,0.0,125.0
Pontualidade,6222.0,0.07232401157184185,2.5504853966818035,0.0,0.0,0.0,0.0,90.0
Prisão,6222.0,0.35679845708775315,16.24641420467199,0.0,0.0,0.0,0.0,740.0
Problema de saúde,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Relacionadas ao Motorista,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Relacionadas ao Transportador,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reprovado na Brasil Risk,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reprovado na GR,6222.0,0.24108003857280616,5.484680480338839,0.0,0.0,0.0,0.0,125.0
Risco de tombamento,6222.0,0.02973320475731276,2.345344938405192,0.0,0.0,0.0,0.0,185.0
Sinistro,6222.0,10.882352941176471,68.24134280922287,0.0,0.0,0.0,0.0,1110.0
Substâncias ilícitas,6222.0,1.5461266473802635,36.30393379082585,0.0,0.0,0.0,0.0,1480.0
Uso do celular,6222.0,4.043715846994536,36.41453477110457,0.0,0.0,0.0,0.0,925.0
Veículo,6222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dias decorridos,6222.0,-141.24959819993572,123.02867108922861,-362.0,-251.0,-118.0,-21.0,0.0
Pontuação,6222.0,-850.6758277081325,1768.7386057437652,-4761.0,-1605.0,-588.0,-115.25,36093.0
