,Abandono do veículo,Aceleração brusca,Acidente,Agressão física,Agressão verbal,Apropriação indevida,Avaria,Banguela,Bebidas,Checklist Irregular,Cinto de segurança,Comportamento,Conduta Motorista,Consumo médio,Cuidado com equipamento/carga,Cumprimento de normas,Desistência de contratos,Desvio de rota,Dia agenciado,Distração ao volante,Distância Perigosa,Extravio de bens,Extravio de carga,Fadiga na direção,Frenagem brusca,Fumar ao volante,Imprudência,Não comparecimento em contrato,Não retorna contato com a PX,Não retorna contato com cliente,Outros,Parada não autorizada,Pontualidade,Prisão,Problema de saúde,Relacionadas ao Motorista,Relacionadas ao Transportador,Reprovado na Brasil Risk,Reprovado na GR,Risco de tombamento,Sinistro,Substâncias ilícitas,Uso do celular,Veículo,Dias decorridos,Pontuação
Abandono do veículo,1.0,-0.00045491396427700513,,-0.00064339721179105,-0.0014396059916068776,-0.0009100473845399653,-0.0007880607868929706,,-0.002663781588693186,-0.003476767404821528,,,,-0.0004549139642770048,0.07188744996022287,0.12374701012906203,0.04942155685736813,-0.0013656202465134818,-0.024730557216133413,0.13258772411021075,-0.0014346252809092383,-0.0006433972117910485,-0.0004549139642770017,-0.0011147551600898028,-0.0022789700895406834,-0.0012874155133569389,-0.0019326789967599907,0.031112424015386567,0.04664375783803652,0.0724246327909804,,-0.001365620246513468,-0.0010175457331689573,-0.0007880607868929693,,,,,-0.0015772632773574493,-0.00045491396427700036,0.018597427560345926,-0.0015282191958332471,0.06437847734552833,,-0.023661637663090974,-0.0010615317386623527
Aceleração brusca,-0.00045491396427700513,1.0,,-0.00022734724972937873,-0.0005086911427151942,-0.00032156926733118606,-0.00027846476365812114,,-0.0009412590029467389,-0.0012285311358974818,,,,-0.00016074586079408839,-0.0007049048094490598,-0.0013524174194366233,-0.002783718965570584,-0.0004825479525398144,-0.026230336142184858,-0.00042549881296242883,-0.0005069311865667178,-0.00022734724972937778,-0.0001607458607940829,-0.0003939036649887707,0.09940427648575381,-0.0004549139642770024,-0.0006829206693326734,-0.00306745221982067,-0.0020356692318847505,-0.0013692743481185886,,-0.00048254795253981374,-0.0003595542841502975,-0.00027846476365811886,,,,,-0.0005573329533215625,-0.00016074586079408294,-0.0020219948497427124,-0.0005400030102542082,-0.0014080259735838397,,-0.02141116713133364,-0.015185656395073585
Acidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agressão física,-0.00064339721179105,-0.00022734724972937873,,1.0,0.22310322502888305,-0.00045480417451549993,-0.00039384030077958246,,-0.0013312482482959983,-0.0017375450513838684,,,,-0.0002273472497293789,-0.0009969660740101174,-0.0019127607969258273,-0.00393708956308798,-0.0006824807141566262,-0.00030451386208063595,-0.000601794562001457,-0.0007169665862539958,-0.00032154340836012835,-0.00022734724972937816,-0.0005571086835525897,-0.0011389353213107772,-0.0006433972117910478,-0.0009658733057830821,-0.004338381233628459,0.0495003578682259,-0.001936602010353018,,-0.0006824807141566356,-0.000508527418536141,-0.0003938403007795817,,,,,-0.0007882511779480498,-0.00022734724972937832,-0.00285976239627621,-0.0007637409673904254,-0.0019914094898647464,,-0.0018585414272711852,0.0032614406523658154
Agressão verbal,-0.0014396059916068776,-0.0005086911427151942,,0.22310322502888305,1.0,-0.00101762768417617,0.18188392533606393,,-0.0029786777428334197,-0.003887769826816489,,,,-0.0005086911427151948,0.06386229594523612,0.1098445435226314,-0.008809266842696692,0.10404338926870793,-0.005794249764705901,-0.0013465197568420524,-0.0016042180078461043,-0.000719455740176982,-0.0005086911427151892,-0.00124653477528434,-0.002548376154828879,-0.001439605991606869,-0.0021611486227423042,0.025890845359772267,0.016997872616338276,0.029794597257938937,,-0.0015270556154898406,-0.0011378338376429938,-0.000881220568488682,,,,,-0.0017637178058423292,-0.0005086911427151902,0.015356974527598597,0.08008055978343762,0.036314716000677295,,-0.018280647587555633,0.0053737352851464205
Apropriação indevida,-0.0009100473845399653,-0.00032156926733118606,,-0.00045480417451549993,-0.00101762768417617,1.0,-0.000557063862078553,,0.07947711323511236,-0.0024576549300399787,,,,-0.0003215692673311866,-0.0014101496734844968,-0.0027054872613564303,-0.005568780830762167,-0.0009653286920349854,-0.0009785338255899247,-0.0008512028916868532,-0.0010141069228551377,0.3532691425549131,-0.0003215692673311864,-0.0007879973538588937,-0.0016109567951557672,-0.0009100473845399679,-0.0013661707878372524,-0.006136384215608092,0.032971507167050884,0.05119547416035033,,-0.0009653286920349901,-0.000719282021626124,-0.0005570638620785506,,,,,0.14340848489226168,-0.00032156926733118693,0.030337238506507356,-0.0010802665244769554,-0.0028167311958884203,,-0.010824200638150887,0.07716364104081236
Avaria,-0.0007880607868929706,-0.00027846476365812114,,-0.00039384030077958246,0.18188392533606393,-0.000557063862078553,1.0,,-0.001630570544720899,-0.0021282204761873522,,,,-0.0002784647636581211,0.11937972605310544,0.06707194225727453,-0.004822317912317678,0.19179994284554366,-0.035872810674088255,-0.000737104058562202,-0.0008781717448952634,-0.0003938403007795827,-0.0002784647636581199,-0.0006823708581565059,-0.0013950173377870738,-0.0007880607868929722,-0.0011830434814528493,-0.005313837340540546,-0.0035264494447483597,-0.0023720340657505785,,-0.0008359319542905065,-0.000622866419474619,-0.0004823926676314529,,,,,-0.0009654842019501814,-0.00027846476365811897,0.07589315309282442,-0.0009354630338988269,-0.002439164641761936,,-0.026676517276880928,-0.0158128656165946
Banguela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bebidas,-0.002663781588693186,-0.0009412590029467389,,-0.0013312482482959983,-0.0029786777428334197,0.07947711323511236,-0.001630570544720899,,1.0,-0.007193752836629379,,,,-0.0009412590029467394,-0.004127621046269526,0.08984495903893647,0.006411999257041564,0.051436283312240726,-0.02705043313970302,-0.0024915390447103267,-0.002968372192436294,-0.0013312482482959976,-0.0009412590029467295,-0.0023065313727695146,0.011584164958147736,-0.002663781588693177,-0.003998891325302748,0.006434213098318569,0.012175602998767783,-0.008017884885519104,,0.05143628331224055,-0.0021053960912752207,-0.0016305705447208978,,,,,-0.003263503379566448,-0.0009412590029467345,0.04407087641242226,0.24907040655518478,0.0022329660785574755,,-0.03049309209572738,0.8085048687487547
Checklist Irregular,-0.003476767404821528,-0.0012285311358974818,,-0.0017375450513838684,-0.003887769826816489,-0.0024576549300399787,-0.0021282204761873522,,-0.007193752836629379,1.0,,,,-0.001228531135897483,-0.005387370486393914,0.060335622667235356,0.04680586917107499,-0.0036879654712735984,-0.026373860739028563,-0.00325195645741316,-0.0038743190236944706,-0.0017375450513838653,-0.0012285311358974742,-0.0030104844665502116,-0.006154538951622357,-0.003476767404821538,0.022536896307574585,0.25872132565405537,0.1237878774773293,0.05293610091407655,,-0.0036879654712735797,-0.0027479627216641985,-0.00212822047618735,,,,,0.02971837277949044,-0.0012285311358974764,0.008796598732231896,0.02626188392111012,0.04225804773922009,,-0.04108947544783806,0.006466640576959596
