mes,uf,de_type,freight_id,price,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso,resultado,esforco,eficiencia
2025-01-01,RS,Coleta/Entrega,103104,560,2,0,1.0,1.0,RS,0,0.49218562154364026,0.06867065105235073,0.7640972134089591
2025-01-01,MG,Coleta/Entrega,121669,2440,8,0,3.0,9.0,MG,0,0.09721888274424942,0.6629688711976139,0.013316312351248239
2025-01-01,SP,Coleta/Entrega,126105,640,4,0,7.0,1.0,SP,0,0.2745508879194861,0.18838647255539667,0.15348452003542648
2025-01-01,MS,Ajudante,128728,300,2,1,5.0,2.0,MS,1,0.6699206540033662,0.27775558486964946,0.25555987363859684
2025-01-01,DF,Diária,130131,4575,15,1,1.0,1.0,"(AL, DF, PA, RN, SE)",1,1.0,0.02216614271169867,1.0
2025-01-01,SP,Diária,130611,4062,13,1,10.0,2.0,SP,1,0.6445299350805482,0.2888760776751587,0.2362315351648274
2025-01-01,SP,Coleta/Entrega,131116,2135,7,1,1.0,1.0,SP,1,1.0,0.06076499807906511,1.0
2025-01-01,SP,Coleta/Entrega,131603,1830,6,1,2.0,1.0,SP,1,0.8730464053859102,0.08203524382512037,1.0
2025-01-01,RS,Ajudante,131656,2100,16,1,8.0,6.0,RS,1,0.5662418850685261,0.8349010183992437,0.07016177696695093
2025-01-01,SP_RM,Diária,131803,13392,36,1,9.0,2.0,SP_RM,1,0.6473511260719724,0.2615986775001609,0.2622637561322417
2025-01-01,SP,Diária,131816,915,3,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-01-01,RS,Diária,131846,3965,13,1,10.0,2.0,RS,1,0.6445299350805482,0.26919972069946063,0.2536710646098726
2025-01-01,SP_RM,Coleta/Entrega,131915,2310,10,0,7.0,1.0,SP_RM,0,0.2745508879194861,0.23536102981595822,0.12237921687356285
2025-01-01,RJ,Coleta/Entrega,131993,460,2,1,5.0,1.0,RJ,1,0.796874248617456,0.15589057045642157,0.5442768406615142
2025-01-01,RJ,Coleta/Entrega,131997,230,1,0,12.0,2.0,RJ,0,0.13248377013705218,0.3741678630625322,0.03549895201793545
2025-01-01,MG,Diária,132050,1837,6,1,1.0,1.0,MG,1,1.0,0.04504214750533539,1.0
2025-01-01,SP,Diária,132108,2695,7,1,2.0,1.0,SP,1,0.8730464053859102,0.07593556938648888,1.0
2025-01-01,GO,Ajudante,132161,100,1,0,7.0,2.0,GO,0,0.14759729330539617,0.7277703091472137,0.01932258825401302
2025-01-01,SP_RM,Coleta/Entrega,132381,1155,5,1,3.0,1.0,SP_RM,1,0.8307285405145467,0.1308422989997807,0.6765946022866688
2025-01-01,SP_RM,Coleta/Entrega,132403,460,2,1,3.0,1.0,SP_RM,1,0.8307285405145467,0.1308422989997807,0.6765946022866688
2025-01-01,SP,Diária,132465,355,1,0,8.0,1.0,SP,0,0.2700168309689829,0.19571460529886567,0.14517163831215157
2025-01-01,SP,Diária,132506,11285,37,1,4.0,9.0,SP,1,0.5838743287649275,0.5417429312679543,0.11288957307787836
2025-01-01,SP,Diária,132510,5490,18,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-01-01,GO,Ajudante,132534,465,3,1,2.0,1.0,GO,1,0.8730464053859102,0.264664555656635,0.3503909425238319
2025-01-01,SP_RM,Coleta/Entrega,132541,1220,4,0,6.0,1.0,SP_RM,0,0.2805962971868237,0.2092313471119138,0.14104764421607582
2025-01-01,SP_RM,Ajudante,132550,125,1,0,4.0,1.0,SP_RM,0,0.3017552296225054,0.23372016077408542,0.13570230668167516
2025-01-01,SP_RM,Coleta/Entrega,132553,260,1,0,5.0,2.0,SP_RM,0,0.1621062755470065,0.2527808182853212,0.06621334304493832
2025-01-01,MG,Ajudante,132568,150,1,1,7.0,1.0,MG,1,0.7823652663758459,0.3056916218619471,0.2713248636461013
2025-01-01,PE,Ajudante,132606,125,1,0,4.0,1.0,PE,0,0.3017552296225054,0.25364311702618025,0.12485748316277677
2025-01-01,SP,Ajudante,132622,516,3,1,5.0,1.0,SP,1,0.796874248617456,0.21263636733854693,0.39839566268573434
2025-01-01,RS,Coleta/Entrega,132651,5290,23,1,9.0,2.0,RS,1,0.6473511260719724,0.3185515355386196,0.2149515342418955
2025-01-01,SP,Ajudante,132652,4200,28,1,1.0,1.0,SP,1,1.0,0.09270822629766809,1.0
2025-01-01,SP,Coleta/Entrega,132653,1150,5,1,5.0,2.0,SP,1,0.6699206540033662,0.20256663638610017,0.3512968753611684
2025-01-01,SC,Coleta/Entrega,132731,230,1,1,6.0,2.0,SC,1,0.6614570810290935,0.2583222627255324,0.27145963788858746
2025-01-01,MG,Diária,132735,2250,6,1,8.0,1.0,MG,1,0.7778312094253426,0.16391751663242002,0.5050845880597387
2025-01-01,SC,Ajudante,132736,750,8,1,3.0,2.0,SC,1,0.703774945900457,0.2476766759137906,0.3015005225192749
2025-01-01,SP,Diária,132768,15250,50,1,12.0,2.0,SP,1,0.6402981485934119,0.3288024229792843,0.20588249035715006
2025-01-01,SP,Diária,132808,1860,5,1,3.0,3.0,SP,1,0.6614570810290935,0.20236899618288665,0.347169849893439
2025-01-01,SP,Diária,132809,6696,18,1,10.0,1.0,SP,1,0.7714835296946381,0.23564095060299126,0.3477483603163949
2025-01-01,SP_RM,Diária,132812,305,1,0,1.0,1.0,SP_RM,0,0.49218562154364026,0.05410131527507061,0.9705034648566269
2025-01-01,SP,Ajudante,132813,3150,21,1,4.0,1.0,SP,1,0.8095696080788651,0.1826543320783272,0.4716118239935015
2025-01-01,PR,Diária,132829,640,2,1,1.0,1.0,PR,1,1.0,0.04774181291913286,1.0
