mes,uf,de_type,freight_id,vehicle,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon
2025-01-01,RS,Coleta/Entrega,103104,Toco,560,280.0,2,nao,1.0,1.0
2025-01-01,MG,Coleta/Entrega,121669,Vanderleia,2440,305.0,8,nao,3.0,9.0
2024-11-01,SP,Diária,124925,Carreta,320,320.0,1,nao,1.0,1.0
2025-01-01,SP,Coleta/Entrega,126105,Utilitários,640,160.0,4,nao,7.0,1.0
2024-12-01,SP,Diária,127859,Rodotrem,5625,375.0,15,sim,2.0,4.0
2024-12-01,MS,Diária,127867,Truck,1820,260.0,7,nao,2.0,5.0
2024-12-01,PR,Coleta/Entrega,128144,Truck,1066,266.5,4,sim,3.0,5.0
2024-12-01,PR,Ajudante,128148,,720,180.0,4,sim,2.0,1.0
2025-01-01,SP,Coleta/Entrega,128569,Truck,1820,260.0,7,sim,9.0,30633.0
2024-12-01,PR,Coleta/Entrega,128596,Toco,230,230.0,1,nao,1.0,1.0
2024-12-01,PR,Coleta/Entrega,128597,Toco,230,230.0,1,nao,1.0,1.0
2025-01-01,MS,Ajudante,128728,,300,150.0,2,sim,5.0,2.0
2024-12-01,MG,Diária,128981,Carreta,3250,325.0,10,nao,10.0,3.0
2024-12-01,SP,Diária,129433,Truck,1297,324.25,4,sim,7.0,2.0
2024-12-01,PR,Diária,129794,Toco,1397,232.83333333333334,6,sim,5.0,10.0
2024-12-01,SP,Coleta/Entrega,129836,3/4,1440,240.0,6,nao,2.0,2.0
2024-12-01,GO,Diária,130019,Truck,520,260.0,2,nao,3.0,83.0
2024-12-01,SP,Coleta/Entrega,130036,Truck,1500,300.0,5,sim,6.0,2.0
2024-12-01,SP,Diária,130043,Vanderleia,4480,320.0,14,sim,1.0,1.0
2024-12-01,PI,Coleta/Entrega,130065,Toco,1150,230.0,5,sim,3.0,1.0
2025-01-01,DF,Diária,130131,Carreta,4575,305.0,15,sim,1.0,1.0
2024-12-01,MG,Diária,130139,Carreta,3575,325.0,11,sim,4.0,1.0
2024-12-01,MG,Diária,130245,Carreta,1830,305.0,6,nao,7.0,34.0
2024-12-01,RS,Ajudante,130246,,1050,150.0,7,sim,5.0,38.0
2024-12-01,PR,Diária,130254,Bitrem,4675,425.0,11,nao,4.0,1.0
2024-12-01,SC,Diária,130255,Carreta,915,305.0,3,nao,9.0,3.0
2024-12-01,PR,Diária,130319,Carreta,1067,355.6666666666667,3,sim,3.0,38.0
2024-12-01,BA,Coleta/Entrega,130324,Truck,2892,262.90909090909093,11,sim,3.0,1.0
2024-12-01,PR,Diária,130347,Carreta,325,325.0,1,nao,7.0,15.0
2024-12-01,PR,Coleta/Entrega,130368,Toco,235,235.0,1,nao,5.0,2751.0
2024-12-01,MG,Diária,130432,Carreta,1830,305.0,6,nao,14.0,13.0
2024-12-01,MG,Diária,130437,Truck,1579,263.1666666666667,6,sim,2.0,1.0
2024-12-01,SP,Diária,130442,Carreta,8704,378.4347826086956,23,sim,3.0,1.0
2024-12-01,SP,Diária,130443,Vanderleia,4259,327.61538461538464,13,sim,4.0,5.0
2024-12-01,MS,Diária,130457,Vanderleia,2661,332.625,8,nao,5.0,3.0
2024-12-01,PR,Diária,130459,Carreta,2160,360.0,6,nao,2.0,1.0
2024-12-01,SP,Coleta/Entrega,130563,Truck,260,260.0,1,sim,3.0,18.0
2025-01-01,SP,Diária,130611,Vanderleia,4062,312.46153846153845,13,sim,10.0,2.0
2024-12-01,SP,Diária,131007,Carreta,937,312.3333333333333,3,nao,20.0,229.0
2024-12-01,SP,Diária,131056,Carreta,2135,305.0,7,nao,7.0,24.0
2025-01-01,SP,Coleta/Entrega,131116,Carreta,2135,305.0,7,sim,1.0,1.0
2025-01-01,SP,Coleta/Entrega,131119,Carreta,1830,305.0,6,nao,5.0,212.0
2024-12-01,RS,Ajudante,131149,,600,150.0,4,nao,5.0,1.0
2024-12-01,SP,Coleta/Entrega,131168,Utilitários,160,160.0,1,nao,2.0,5.0
2024-12-01,SP,Coleta/Entrega,131366,Carreta,325,325.0,1,nao,8.0,5.0
2024-12-01,MG,Coleta/Entrega,131389,Toco,460,230.0,2,sim,2.0,1.0
2024-12-01,SP,Coleta/Entrega,131423,Utilitários,184,184.0,1,sim,1.0,1.0
2024-12-01,SP,Coleta/Entrega,131427,Truck,260,260.0,1,sim,7.0,1836.0
2024-12-01,SP,Ajudante,131430,,150,150.0,1,nao,1.0,1.0
2024-12-01,SP,Coleta/Entrega,131559,Toco,250,250.0,1,nao,4.0,1356.0
2024-12-01,SC,Coleta/Entrega,131587,3/4,220,220.0,1,nao,5.0,9.0
2024-12-01,SP,Coleta/Entrega,131601,Truck,260,260.0,1,sim,12.0,4.0
2024-12-01,SP,Coleta/Entrega,131602,Truck,260,260.0,1,sim,7.0,7.0
2025-01-01,SP,Coleta/Entrega,131603,Carreta,1830,305.0,6,sim,2.0,1.0
2024-12-01,SP,Coleta/Entrega,131612,Carreta,2745,305.0,9,sim,1.0,1.0
2024-12-01,RS,Coleta/Entrega,131642,Toco,1150,230.0,5,sim,2.0,1.0
2025-01-01,RS,Ajudante,131656,,2100,131.25,16,sim,8.0,6.0
2024-12-01,SP,Coleta/Entrega,131664,3/4,3290,235.0,14,sim,4.0,1.0
2024-12-01,MA,Ajudante,131746,,100,100.0,1,sim,4.0,41.0
2024-12-01,SP,Ajudante,131752,,420,140.0,3,sim,7.0,2.0
2024-12-01,SC,Coleta/Entrega,131780,3/4,220,220.0,1,nao,1.0,1.0
2024-12-01,PE,Coleta/Entrega,131781,3/4,220,220.0,1,sim,7.0,3.0
2024-12-01,PR,Coleta/Entrega,131794,Toco,1840,230.0,8,sim,8.0,110.0
2024-12-01,RS,Ajudante,131797,,480,120.0,4,sim,2.0,2.0
2025-01-01,SP,Diária,131803,Carreta,13392,372.0,36,sim,9.0,2.0
2025-01-01,SP,Diária,131816,Vanderleia,915,305.0,3,sim,1.0,1.0
2025-01-01,RS,Diária,131846,Vanderleia,3965,305.0,13,sim,10.0,2.0
2024-12-01,SP,Diária,131854,Toco,255,255.0,1,nao,3.0,153.0
2024-12-01,SP,Coleta/Entrega,131857,Toco,750,250.0,3,sim,3.0,1.0
2024-12-01,SP,Diária,131884,Carreta,2604,372.0,7,nao,17.0,4.0
2024-12-01,SC,Coleta/Entrega,131889,3/4,1440,240.0,6,nao,9.0,3093.0
2024-12-01,MT,Coleta/Entrega,131890,3/4,440,110.0,4,sim,4.0,1.0
2024-12-01,SP,Coleta/Entrega,131891,Carreta,305,305.0,1,sim,9.0,2.0
2024-12-01,MG,Coleta/Entrega,131894,Truck,353,353.0,1,nao,3.0,2.0
2024-12-01,MG,Coleta/Entrega,131898,Bi-Truck,810,270.0,3,sim,1.0,1.0
2025-01-01,SP,Coleta/Entrega,131915,3/4,2310,231.0,10,nao,7.0,1.0
2024-12-01,SP,Coleta/Entrega,131918,3/4,1320,165.0,8,sim,9.0,4.0
2024-12-01,DF,Coleta/Entrega,131978,Utilitários,210,210.0,1,sim,4.0,3.0
2025-01-01,RJ,Coleta/Entrega,131993,Toco,460,230.0,2,sim,5.0,1.0
2025-01-01,RJ,Coleta/Entrega,131997,Toco,230,230.0,1,nao,12.0,2.0
2024-12-01,RJ,Ajudante,132002,,250,250.0,1,sim,3.0,1.0
2024-12-01,MG,Diária,132019,Vanderleia,9750,325.0,30,nao,1.0,1.0
2024-12-01,GO,Ajudante,132021,,150,150.0,1,sim,5.0,1.0
2025-01-01,RS,Ajudante,132027,,300,150.0,2,sim,11.0,4684.0
2024-12-01,SP,Ajudante,132040,,370,185.0,2,nao,6.0,2.0
2024-12-01,BA,Coleta/Entrega,132044,Truck,260,260.0,1,nao,9.0,2723.0
2025-01-01,MG,Diária,132050,Vanderleia,1837,306.1666666666667,6,sim,1.0,1.0
2024-12-01,SP,Diária,132089,Carreta,1300,325.0,4,nao,4.0,1.0
2024-12-01,SP,Coleta/Entrega,132090,3/4,528,264.0,2,sim,14.0,964.0
2024-12-01,SP,Diária,132096,Vanderleia,2600,325.0,8,sim,3.0,1.0
2025-01-01,SP,Diária,132108,Carreta,2695,385.0,7,sim,2.0,1.0
2024-12-01,PR,Diária,132129,Carreta,2880,320.0,9,sim,13.0,4.0
2024-12-01,SP,Coleta/Entrega,132153,Carreta,3660,305.0,12,sim,2.0,1.0
2025-01-01,GO,Ajudante,132161,,100,100.0,1,nao,7.0,2.0
2024-12-01,SP,Coleta/Entrega,132191,Bi-Truck,810,270.0,3,nao,4.0,1.0
2024-12-01,SP,Coleta/Entrega,132200,Truck,1450,207.14285714285714,7,sim,3.0,1.0
2024-12-01,SP,Coleta/Entrega,132254,Toco,500,250.0,2,nao,4.0,1.0
2024-12-01,RS,Ajudante,132269,,220,220.0,1,sim,6.0,3.0
2024-12-01,SP,Coleta/Entrega,132277,3/4,235,235.0,1,sim,7.0,14.0
2024-12-01,MG,Coleta/Entrega,132338,Bi-Truck,270,270.0,1,nao,25.0,279.0
2024-12-01,SP,Ajudante,132361,,150,150.0,1,nao,11.0,3.0
2024-12-01,SP,Coleta/Entrega,132380,3/4,1127,225.4,5,nao,10.0,2.0
