uf,mes,de_type,freight_id,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso
RS,2025-01-01,Coleta/Entrega,103104,560,280.0,2,nao,1.0,1.0,RS,0
MG,2025-01-01,Coleta/Entrega,121669,2440,305.0,8,nao,3.0,9.0,MG,0
SP,2025-01-01,Coleta/Entrega,126105,640,160.0,4,nao,7.0,1.0,SP,0
MS,2025-01-01,Ajudante,128728,300,150.0,2,sim,5.0,2.0,MS,1
DF,2025-01-01,Diária,130131,4575,305.0,15,sim,1.0,1.0,"(AL, DF, PA, RN, SE)",1
SP,2025-01-01,Diária,130611,4062,312.46153846153845,13,sim,10.0,2.0,SP,1
SP,2025-01-01,Coleta/Entrega,131116,2135,305.0,7,sim,1.0,1.0,SP,1
SP,2025-01-01,Coleta/Entrega,131603,1830,305.0,6,sim,2.0,1.0,SP,1
RS,2025-01-01,Ajudante,131656,2100,131.25,16,sim,8.0,6.0,RS,1
SP_RM,2025-01-01,Diária,131803,13392,372.0,36,sim,9.0,2.0,SP_RM,1
SP,2025-01-01,Diária,131816,915,305.0,3,sim,1.0,1.0,SP,1
RS,2025-01-01,Diária,131846,3965,305.0,13,sim,10.0,2.0,RS,1
SP_RM,2025-01-01,Coleta/Entrega,131915,2310,231.0,10,nao,7.0,1.0,SP_RM,0
RJ,2025-01-01,Coleta/Entrega,131993,460,230.0,2,sim,5.0,1.0,RJ,1
RJ,2025-01-01,Coleta/Entrega,131997,230,230.0,1,nao,12.0,2.0,RJ,0
MG,2025-01-01,Diária,132050,1837,306.1666666666667,6,sim,1.0,1.0,MG,1
SP,2025-01-01,Diária,132108,2695,385.0,7,sim,2.0,1.0,SP,1
GO,2025-01-01,Ajudante,132161,100,100.0,1,nao,7.0,2.0,GO,0
SP_RM,2025-01-01,Coleta/Entrega,132381,1155,231.0,5,sim,3.0,1.0,SP_RM,1
SP_RM,2025-01-01,Coleta/Entrega,132403,460,230.0,2,sim,3.0,1.0,SP_RM,1
SP,2025-01-01,Diária,132465,355,355.0,1,nao,8.0,1.0,SP,0
SP,2025-01-01,Diária,132506,11285,305.0,37,sim,4.0,9.0,SP,1
SP,2025-01-01,Diária,132510,5490,305.0,18,sim,1.0,1.0,SP,1
GO,2025-01-01,Ajudante,132534,465,155.0,3,sim,2.0,1.0,GO,1
SP_RM,2025-01-01,Coleta/Entrega,132541,1220,305.0,4,nao,6.0,1.0,SP_RM,0
SP_RM,2025-01-01,Ajudante,132550,125,125.0,1,nao,4.0,1.0,SP_RM,0
SP_RM,2025-01-01,Coleta/Entrega,132553,260,260.0,1,nao,5.0,2.0,SP_RM,0
SP_RM,2025-01-01,Coleta/Entrega,132557,260,260.0,1,sim,10.0,17.0,SP_RM,1
