freight_id,uf,city,de_type,vehicle,driver_id,company_id,price_por_dia,contract_days,foi_cancelada,atuacao_falcon
103104,RS,Pelotas,Coleta/Entrega,Toco,,1972,280.0,2,sim,sim
121669,MG,Extrema,Coleta/Entrega,Vanderleia,,3372,305.0,8,sim,sim
121724,MG,Extrema,Coleta/Entrega,Vanderleia,,3372,305.0,8,sim,nao
121726,MG,Extrema,Coleta/Entrega,Vanderleia,,3372,305.0,8,sim,nao
125571,SC,Itajaí,Coleta/Entrega,Truck,,2940,260.0,3,sim,nao
125654,PR,Curitiba,Diária,Carreta,,446,305.0,31,sim,nao
125655,PR,Curitiba,Diária,Carreta,,446,305.0,31,sim,nao
126105,SP,Campinas,Coleta/Entrega,Utilitários,,2940,160.0,4,sim,sim
126915,DF,Brasília,Diária,Carreta,75951.0,3436,295.4375,16,nao,nao
126919,DF,Brasília,Diária,Carreta,189131.0,3436,296.0,17,nao,nao
127056,SP,Lins,Diária,Carreta,,1982,305.0,30,sim,nao
127057,SP,Lins,Diária,Carreta,38191.0,1982,305.0,30,nao,nao
128377,SC,Concórdia,Diária,Carreta,,1248,305.0,9,sim,nao
128555,MG,Contagem,Ajudante,,281102.0,3594,165.72727272727272,11,nao,nao
128569,SP,Jundiaí,Coleta/Entrega,Truck,219398.0,1288,260.0,7,nao,sim
128573,SP,Itupeva,Diária,Vanderleia,249143.0,2121,295.4375,16,nao,nao
128604,PR,Maringá,Coleta/Entrega,Vanderleia,,309,305.0,19,sim,nao
128727,MS,Campo Grande,Ajudante,,302570.0,3557,150.0,6,nao,nao
128728,MS,Campo Grande,Ajudante,,313242.0,3557,150.0,2,nao,sim
128767,SP_RM,São Paulo,Coleta/Entrega,3/4,147419.0,2357,270.0,10,nao,nao
129206,MG,Lagoa da Prata,Ajudante,,,2932,140.0,2,sim,nao
129824,SC,Joinville,Coleta/Entrega,Manobrista,247125.0,3486,265.0,25,nao,nao
129872,SC,Itajaí,Diária,Carreta,114638.0,3730,305.0,30,nao,nao
129875,SC,Itajaí,Diária,Carreta,67233.0,3730,305.0,30,nao,nao
129876,SC,Itajaí,Diária,Carreta,9984.0,3730,305.0,30,nao,nao
129877,SC,Itajaí,Diária,Carreta,34030.0,3730,305.0,15,nao,nao
129879,SC,Itajaí,Diária,Carreta,145292.0,3730,305.0,30,nao,nao
130063,SP,Nova Odessa,Diária,Vanderleia,62263.0,3056,305.0,16,nao,nao
130124,DF,Brasília,Diária,Carreta,87075.0,3436,305.0,7,nao,nao
130126,DF,Brasília,Diária,Carreta,234139.0,3436,305.0,15,nao,nao
130127,DF,Brasília,Diária,Carreta,104336.0,3436,305.0,15,nao,nao
130128,DF,Brasília,Diária,Carreta,278806.0,3436,305.0,15,nao,nao
130129,DF,Brasília,Diária,Carreta,38875.0,3436,305.0,15,nao,nao
130130,DF,Brasília,Diária,Carreta,22995.0,3436,305.0,15,nao,nao
130131,DF,Brasília,Diária,Carreta,295287.0,3436,305.0,15,nao,sim
130168,SP,Nova Odessa,Diária,Vanderleia,20749.0,3056,305.0,8,nao,nao
130201,GO,Senador Canedo,Diária,Carreta,,1982,305.0,18,sim,nao
130271,SC,Itajaí,Diária,Carreta,1075.0,3730,305.0,24,nao,nao
130276,SC,Itajaí,Diária,Carreta,2111.0,3730,298.04545454545456,22,nao,nao
130357,SP,Mirassol,Diária,Vanderleia,45242.0,2860,325.0,22,nao,nao
130391,SP_RM,São Paulo,Coleta/Entrega,Toco,101385.0,2734,310.0,13,nao,nao
130400,PR,Paranaguá,Ajudante,,,1452,150.0,2,sim,nao
130403,DF,Brasília,Diária,Carreta,267921.0,3436,305.0,19,nao,nao
130404,DF,Brasília,Diária,Carreta,278806.0,3436,305.0,15,nao,nao
130405,DF,Brasília,Diária,Carreta,162294.0,3436,305.0,19,nao,nao
130440,MG,Pouso Alegre,Diária,Carreta,65638.0,953,317.6666666666667,12,nao,nao
130502,SP_RM,São Paulo,Diária,Carreta,215389.0,265,320.0,13,nao,nao
130504,SP_RM,São Paulo,Diária,Carreta,57843.0,265,320.0,4,nao,nao
130505,SP_RM,São Paulo,Diária,Carreta,45051.0,265,320.0,13,nao,nao
130506,SP_RM,São Paulo,Diária,Carreta,137096.0,265,320.0,4,nao,nao
130592,MG,Juiz de Fora,Diária,Vanderleia,141052.0,1365,325.0,33,nao,nao
130608,SP,Mirassol,Diária,Vanderleia,149258.0,2860,325.0,12,nao,nao
130611,SP,Mirassol,Diária,Vanderleia,291594.0,2860,312.46153846153845,13,nao,sim
130625,RS,Carazinho,Coleta/Entrega,Manobrista,,228,210.0,13,sim,nao
130626,ES,Cachoeiro de Itapemirim,Diária,3/4,46521.0,3761,220.0,1,nao,nao
130656,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130657,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130658,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130659,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130660,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130661,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130662,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130663,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130664,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130665,MA,São Luís,Diária,Carreta,,3614,325.0,32,sim,nao
130666,SP,Amparo,Coleta/Entrega,Carreta,294852.0,2337,305.0,10,nao,nao
130667,MG,Belo Horizonte,Ajudante,,279251.0,3707,130.0,2,nao,nao
130668,MG,Belo Horizonte,Ajudante,,310842.0,3707,130.0,1,nao,nao
130669,MG,Belo Horizonte,Ajudante,,279867.0,3707,130.0,3,nao,nao
130860,MT,Tangará da Serra,Ajudante,,,553,195.55555555555554,9,sim,nao
130927,SC,São José,Diária,Carreta,120172.0,3222,305.0,28,nao,nao
131030,SP,Amparo,Coleta/Entrega,Truck,260306.0,3423,260.0,11,nao,nao
131035,SP,Amparo,Coleta/Entrega,Truck,252694.0,3423,260.0,11,nao,nao
131037,SP,Amparo,Coleta/Entrega,Truck,63223.0,3423,260.0,11,nao,nao
131038,SP,Amparo,Coleta/Entrega,Truck,98560.0,3423,260.0,9,nao,nao
131058,SP,Americana,Diária,Carreta,112761.0,2129,305.0,26,nao,nao
131116,SP,Guarujá,Coleta/Entrega,Carreta,165570.0,2910,305.0,7,nao,sim
131117,SP,Guarujá,Coleta/Entrega,Carreta,70516.0,2910,305.0,7,nao,nao
131119,SP,Guarujá,Coleta/Entrega,Carreta,,2910,305.0,6,sim,sim
131196,MG,São Joaquim de Bicas,Diária,Carreta,,2125,305.0,3,sim,nao
131197,MG,São Joaquim de Bicas,Diária,Carreta,,2125,305.0,3,sim,nao
131202,MG,São Joaquim de Bicas,Diária,Bitrem,,2125,375.0,4,sim,nao
131203,MG,São Joaquim de Bicas,Diária,Bitrem,,2125,375.0,4,sim,nao
131204,MG,São Joaquim de Bicas,Diária,Bitrem,,2125,375.0,3,sim,nao
131232,SP_RM,Guarulhos,Coleta/Entrega,Truck,81544.0,3271,266.53846153846155,26,nao,nao
