=====================================
INSTRUÇÕES
=====================================
Com base nas informações da tabela abaixo, preciso realizar estas etapas de análise:


1) Calcular a quantidade de dias agenciados (contract_days) consecutivos para a mesma empresa (company_id) por motorista (driver_id) de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.
1) Em seguida Calcular contagem de contratos consecutivos para a mesma empresa (company_id) por motorista (driver_id) de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.
3) Média de dias por contratos no periodo consecutivo  de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.


=====================================
TABELA
=====================================

Nome da tabela: freights.

id    |status|company_id|truck_id|origin|destination|driver_id|price |duration|distance|round_trip|description                                                                                                                                                                                                                                                    |created_at             |updated_at             |load_id|end_at                 |start_at               |deleted_at|px_commission|day_of_week|hour_of_day|type|daily_price|nf                                          |nf_px|reason|nr_nf|nr_nf_px|has_checked_insurance|insurance_approved_at  |type_id|final_payment_receipt                                       |final_payment_obs|billing_date           |express_summary_id|vehicle_id|supply_id|daily_tip|overnight_at|company_contact_phone|contract_days|company_ideal_profile_id|automatic_selec
------+------+----------+--------+------+-----------+---------+------+--------+--------+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+-----------------------+-------+-----------------------+-----------------------+----------+-------------+-----------+-----------+----+-----------+--------------------------------------------+-----+------+-----+--------+---------------------+-----------------------+-------+------------------------------------------------------------+-----------------+-----------------------+------------------+----------+---------+---------+------------+---------------------+-------------+------------------------+---------------
 22059|   300|       423|        |   739|           |    64674| 30000|     210|        |          |-Tipo de Caminhão: 3/4, Toco ou Truck.¶-Serviço por valor diário, sendo o valor de R$ 220,00 (duzentos e vinte reais) por dia de serviço.¶-Serão __ dias, partindo de Cuiaba/MT FAZENDOS ENTREGAS de engradados de bebidas pela mesma região e retornando para |2023-04-28 15:50:15.000|2023-09-15 14:50:39.000|       |2023-04-28 22:00:00.000|2023-04-28 18:30:00.000|          |         6600|          5|         18|2   |      30000|7f071e3e-e2d4-4956-a2bd-e66c3857a504.pdf    |     |      |21   |        |true                 |2023-04-28 16:42:09.000|       |riwyWX7oVASyruqak3u1Sqiv81a850430d29497d8bd112d1aa2c03c2.pdf|                 |2023-04-29 12:01:59.000|                  |          |         |         |            |                     |            1|                        |false          
 23068|   300|       347|    1380|   438|           |    29889|544000|   10080|        |true      |- Tipo de veículo: Carreta Sider - FH 460 NOVA¶-  Expressamente Proibido fumar dentro do veiculo. ¶- ATENÇÃO!! necessario conhecimento na direção do veiculo FH 460 modelo novo, pois é feito um teste pratico de direção, se reprovado, o motorista devera ret|2023-05-10 14:20:02.000|2023-09-15 14:43:37.000|      4|2023-05-27 17:00:00.000|2023-05-10 17:00:00.000|          |       141440|          3|         17|1   |      32000|ba14cf3d-179a-44e3-b9ff-50e696eb2d74.pdf    |     |      |8    |        |true                 |2023-05-10 14:24:54.000|       |OwSWnl3AxQEIOgUNd8LukIKg2c7c5d41526848ba0ff7ea58e870713c.pdf|                 |2023-05-29 08:49:30.000|             13445|        14|        4|        0|            |                     |           17|                        |false          
 11319|   300|       335|    3450|   457|           |    26879|336000|   10080|        |true      |- PAMCARY ATIVA ¶- Tipo de veículo: Carreta Graneleira ¶- Veículo tem AR CONDICIONADO¶- Serviço por valor diário, sendo valor de R$ 250,00 (duzentos e quarenta reais) por dia de serviço.¶O motorista deve se apresentar de calçado fechado e calça comprida.¶|2022-11-28 16:22:58.000|2023-09-15 14:30:34.000|      1|2022-12-14 00:00:00.000|2022-12-02 00:00:00.000|          |        90720|          5|          0|1   |      28000|GCGQf9vRQuReLO4zgPF1pCv0ziV4MowV9xTfWyHQ.pdf|     |      |10   |        |true                 |2022-11-30 14:36:31.000|       |iCbhy8hpE6TXKi336IgtFu4q20b0fcb0f29abc3923ca284f907f67d8.pdf|                 |2022-12-13 15:13:06.000|              1752|         8|       24|        0|            |                     |           12|                        |false          
 11320|   300|       159|     825|   240|           |    12224|546000|   28800|        |true      |Serviço por valor diário, sendo o valor de R$260,00 (duzentos e sessenta reais) por dia de serviço.¶- Tipo de Caminhão: Carreta Vanderléia ou LS.¶- Serão 20 dias, partindo de Mogi das Cruzes/SP para destinos pontais indicados pela empresa.¶- ATENÇÃO: SE A|2022-11-28 16:37:00.000|2023-09-15 14:30:34.000|      5|2022-12-20 12:00:00.000|2022-11-29 12:00:00.000|          |       147420|          2|         12|1   |      26000|couB2IPPCkDSM6D8428yGmJJZDSxpDXD237fQvr2.pdf|     |      |22   |        |true                 |2022-11-29 07:24:54.000|       |6W0KZ6gq3oEMUBXy9WGARAV10411b99b218f02ae4ddbf9d40b3125d1.pdf|                 |2022-12-21 08:14:46.000|              1753|         8|        4|     1000|            |                     |           21|                        |false          
  9177|   900|       249|    1903|   329|           |         |125000|    7200|       0|true      |Sejam Bem Vindos a TRANSPORTES TOZZO.¶- Alexandre Santin, GERENTE DE OPERAÇÕES da Transportes Tozzo, responsável pela operação Motorista PX, incluindo Instruções Iniciais, Validações de Documentos, Reembolso, Autorização de Pagamentos, Inclusão e Retirada|2022-09-28 17:33:41.000|2023-09-15 14:29:53.000|      2|2022-10-04 13:30:00.000|2022-09-29 18:00:00.000|          |        31250|          4|         13|1   |      25000|                                            |     |     2|     |        |false                |                       |      5|                                                            |                 |                       |                  |          |         |         |            |                     |            5|                        |false          
  8436|   300|       185|    1651|   533|           |    18608|312500|   14400|       0|true      |- Tipo de veículo: Carreta Sider  Vanderleia.¶- Origem: / Destino: Partindo de: (Curitiba x Glória retornando para São Carlos e ou Curitiba).¶- Mínimo 2 Anos de Carteira Comprovada;¶- Direção defensiva;¶- Direção Econômica; (Saber fazer média).¶- Mopp¶- O|2022-09-08 17:05:24.000|2023-09-15 14:49:28.000|      4|2022-09-21 12:00:00.000|2022-09-09 12:00:00.000|          |        87500|          5|         12|1   |      25000|t7Hg6bPdJ2qy2JSczFsNA5Ld8cZezSkQHo5uosIp.pdf|     |      |2    |        |true                 |2022-09-09 17:13:44.000|      5|cXwgLSd27wXQlT2ZL19kd92Y152c2b023ee5907af72bb92ca3399bbc.pdf|                 |2022-10-10 00:00:00.000|                  |          |         |         |            |                     |           12|                        |false          
 11321|   300|        36|     329|   511|           |    12623|624000|   10080|        |true      |Serviço por valor diário, sendo o valor de R$ 260,00 (duzentos e sessenta reais) por dia de serviço.¶- Tipo de Caminhão: Carreta Vanderléia ou LS¶¶- Ao chegar se apresentar ao Sr. Leandro para trocas de informações.¶((( O motorista precisa estar vacinado |2022-11-28 16:39:45.000|2023-09-15 14:30:34.000|      4|2022-12-23 12:00:00.000|2022-11-29 12:00:00.000|          |       156000|          2|         12|1   |      26000|dClC6eOx4JVc5V7Q3qgFZANqAtQAr97uY7AE9MHf.pdf|     |      |14   |        |true                 |2022-11-29 14:07:48.000|       |LNGP9Wt3dHg95pbFTg6dZqfj346c816ae2599843ccfc22a2606536a4.pdf|                 |2022-12-22 17:43:09.000|              1754|         8|        4|     1000|            |                     |           24|                        |false          
 16804|   900|       608|    2732|  1233|           |         | 24000|     630|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- SERÁ 1 DIA DE CONTRATO¶- a contabilização das diárias serão efetivamente d|2023-02-17 16:50:30.000|2023-09-15 14:31:56.000|      5|2023-02-18 18:00:00.000|2023-02-18 07:30:00.000|          |         6240|          6|          7|1   |      24000|                                            |     |     1|     |        |false                |                       |       |                                                            |                 |                       |              7243|         4|        3|     2000|            |                     |            1|                        |false          
 24921|   300|       608|    2732|  1345|           |    61532| 20000|     600|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia. ¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA. ¶- SERÁ 1 DIA DE CONTRATO- a conta|2023-05-31 08:05:40.000|2023-09-15 14:34:08.000|      5|2023-05-31 20:30:00.000|2023-05-31 10:30:00.000|          |         5200|          3|         10|3   |      20000|5ccbdbab-4694-4ea7-8f6b-5a2c9acb9df9.pdf    |     |      |5    |        |true                 |2023-05-31 08:22:16.000|       |FD1eEM0TRUUeKXa1hERAkHMH388d561815aa5a4b65cb02a6669613bd.pdf|                 |2023-05-31 00:00:00.000|             15283|         2|        3|        0|           2|                     |            1|                        |false          
